상호명,도로명주소,상권업종중분류명,경도,위도,e음카드
독고닭발,인천광역시 계양구 오조산로45번길 8,한식,126.737791942458,37.535189306938,
짬뽕에미치다,인천광역시 계양구 당미2길 6,중식,126.756402387071,37.559988552114,
물고기,인천광역시 중구 신포로 42-1,일식,126.626184679668,37.4724223931869,
참치마참치,인천광역시 서구 청라루비로42번길 10,일식,126.641685835449,37.5287289450161,
찜양과탕군,인천광역시 미추홀구 석정로92번길 173,한식,126.655861610154,37.4670614631714,
천하원요리,인천광역시 연수구 센트럴로 194,중식,126.641866165651,37.393785610377,
강원도국수,인천광역시 미추홀구 독배로432번길 4,한식,126.649584547867,37.4580960121038,
양푼이푸드,인천광역시 미추홀구 미추홀대로598번길 83,한식,126.684620138657,37.4506082050149,
수연생오리구이,인천광역시 연수구 능허대로167번길 72,한식,126.651647803523,37.4201965775887,
세자매식당,인천광역시 강화군 강화읍 중앙로 17-9,한식,126.492865139954,37.7414177478633,
우리소참한우정육식당,인천광역시 미추홀구 인하로105번길 39,한식,126.660518491219,37.45213621859,
도랫마을식당,인천광역시 중구 하나개로 151-16,한식,126.410962422427,37.3848958980219,
통큰소한마리,인천광역시 부평구 세월천로 13-1,한식,126.707863665109,37.5125219979131,
이바돔감자탕,인천광역시 서구 서곶로 788,한식,126.675356683901,37.5881206796849,
황해막회,인천광역시 남동구 남동대로370번길 113,한식,126.711963950313,37.4137815069799,
족사랑,인천광역시 미추홀구 경인남길118번길 13,한식,126.660037749993,37.4534773403498,
외포리식당,인천광역시 강화군 내가면 해안서로 880,한식,126.381482349414,37.7010364847214,
나경식당,인천광역시 중구 우현로90번길 5,한식,126.630945594426,37.4743925403858,
사랑방장칼국수,인천광역시 남동구 남촌로 67,한식,126.7156962536,37.4274949842011,
소래포구,인천광역시 남동구 포구로 2-30,한식,126.739172679838,37.398419236647,
인천,인천광역시 중구 을왕로 24,한식,126.373458001509,37.4465661268377,
시골두루치기,인천광역시 부평구 백범로422번길 54,한식,126.705112067417,37.4701589470727,
행복한집밥,인천광역시 강화군 강화읍 갑룡길49번길 2,한식,126.49845882403,37.7430453910605,
본죽공항,인천광역시 중구 영종대로 84,한식,126.488520649066,37.4949362249662,
어니스트컴퍼니,인천광역시 남동구 남동대로765번길 11,한식,126.706929423447,37.4505665207934,
조마루감자탕,인천광역시 서구 서곶로301번길 7-1,한식,126.675750103994,37.5443875971952,
김동길의함흥관,인천광역시 미추홀구 인하로 227,한식,126.673462363008,37.4487488534278,
홍두깨식당,인천광역시 연수구 대암로 14,한식,126.651774454947,37.4172416243005,
실미도횟집,인천광역시 중구 큰무리로 117,한식,126.403326485538,37.4009316266264,
시골밥상간석시장,인천광역시 남동구 백범로310번길 15,한식,126.716145745762,37.4640320809304,
소율이네고깃집,인천광역시 계양구 양지로 155,한식,126.74657742123,37.5669505768214,
